game_id,avg_temp,rain_sum,wind_speed_avg,snowfall_sum,is_indoor,rain_any,snow_any
256,40.1,0.3,24.9,0.0,False,True,False
257,47.66,0.8,14.4,0.0,True,True,False
258,43.7,35.0,22.7,0.0,False,True,False
259,47.66,0.0,13.0,0.0,False,False,False
260,50.72,0.0,12.1,0.0,False,False,False
261,51.08,1.3,14.3,0.0,False,True,False
262,67.1,0.0,17.5,0.0,True,False,False
263,33.44,3.1,15.1,0.21,False,True,True
264,45.14,0.0,7.6,0.0,False,False,False
265,27.5,0.0,13.3,3.71,False,False,True
266,30.02,0.2,11.8,6.58,True,True,True
267,71.24000000000001,8.2,15.9,0.0,False,True,False
268,78.62,4.2,22.0,0.0,True,True,False
269,68.54,13.2,6.5,0.0,False,True,False
270,72.32,28.7,8.9,0.0,False,True,False
271,64.94,0.0,9.8,0.0,False,False,False
272,75.2,6.2,6.9,0.0,True,True,False
273,60.440000000000005,1.4,14.9,0.0,True,True,False
274,77.36,0.0,10.8,0.0,True,False,False
275,76.28,0.0,9.0,0.0,False,False,False
276,78.98,0.9,6.6,0.0,False,True,False
277,80.42,5.8,6.6,0.0,True,True,False
278,62.42,0.0,12.1,0.0,False,False,False
279,68.9,0.0,8.6,0.0,False,False,False
280,62.24,0.0,11.5,0.0,False,False,False
281,78.62,8.5,6.9,0.0,False,True,False
282,74.84,0.0,7.4,0.0,False,False,False
283,60.8,0.0,11.4,0.0,False,False,False
284,55.22,0.0,5.2,0.0,False,False,False
285,65.66,0.0,6.3,0.0,False,False,False
286,60.62,0.4,7.3,0.0,True,True,False
287,59.0,0.0,9.2,0.0,True,False,False
288,54.32,0.0,5.5,0.0,False,False,False
289,82.22,7.1,5.5,0.0,False,True,False
290,68.18,0.0,11.7,0.0,False,False,False
291,78.8,1.9,9.9,0.0,False,True,False
292,54.86,0.0,7.3,0.0,True,False,False
293,82.58,1.2,7.0,0.0,False,True,False
294,93.38,0.0,7.7,0.0,True,False,False
295,57.92,0.0,11.5,0.0,False,False,False
296,70.52,0.4,9.3,0.0,False,True,False
297,59.540000000000006,0.0,12.0,0.0,False,False,False
298,55.76,0.0,7.3,0.0,False,False,False
299,60.440000000000005,0.0,7.7,0.0,False,False,False
300,64.75999999999999,0.0,12.2,0.0,False,False,False
301,77.72,0.0,11.3,0.0,False,False,False
302,69.25999999999999,0.0,12.0,0.0,False,False,False
303,71.42,0.0,9.8,0.0,True,False,False
304,73.4,0.0,10.9,0.0,False,False,False
305,70.52,0.0,7.9,0.0,False,False,False
306,78.8,16.9,9.9,0.0,False,True,False
307,75.2,0.0,11.6,0.0,False,False,False
308,79.16,0.0,7.4,0.0,True,False,False
309,70.88,0.0,14.9,0.0,False,False,False
310,60.62,0.4,4.6,0.0,False,True,False
311,54.32,0.0,3.7,0.0,False,False,False
312,76.1,0.0,7.8,0.0,True,False,False
313,75.74000000000001,0.0,10.4,0.0,False,False,False
314,75.92,0.0,17.9,0.0,False,False,False
315,78.62,4.1,14.2,0.0,True,True,False
316,67.64,0.0,10.8,0.0,True,False,False
317,61.16,0.0,9.3,0.0,False,False,False
318,63.5,0.0,12.6,0.0,False,False,False
319,80.24000000000001,0.1,15.8,0.0,False,True,False
320,64.94,0.0,14.5,0.0,True,False,False
321,76.64,13.8,23.7,0.0,False,True,False
322,67.46,25.6,18.5,0.0,True,True,False
323,58.82,0.0,7.5,0.0,False,False,False
324,68.9,0.0,9.6,0.0,False,False,False
325,69.8,0.0,14.1,0.0,True,False,False
326,79.34,0.0,6.6,0.0,True,False,False
327,66.92,0.0,6.7,0.0,False,False,False
328,62.24,0.0,9.7,0.0,True,False,False
329,71.42,0.0,10.1,0.0,False,False,False
330,80.24000000000001,0.0,5.9,0.0,False,False,False
331,77.72,4.4,15.2,0.0,False,True,False
332,78.98,0.0,8.9,0.0,True,False,False
333,65.48,0.0,11.4,0.0,False,False,False
334,79.52,2.0,17.7,0.0,True,True,False
335,73.94,0.4,11.0,0.0,True,True,False
336,75.56,0.0,4.8,0.0,False,False,False
337,75.92,0.0,8.8,0.0,False,False,False
338,78.62,1.8,10.3,0.0,True,True,False
